Indonesia,Ternate,Makian,Galela
jangan membentak anak kecil,afa gartak ngofa ici,,
di ternate ada benteng portugi,toma ternate sema portugis nabenteng,,
mereka bentrok di jalan,ana imakudutu toma ngoko,,
ibu membaringkan adik di kasur,,mama l'akalilik thano dongat li,
saya sudah kenal dia,,kaklol i do,
dia masih ragu,,nakui te,
ibu memberereskan dapur,,mama laladai akno tapin,
anak itu sudah akil balig,,wang da akal balig do,
ayah berbaring di ranjang,,nikbaba si lakalilik si dongat,
tambah lagi singkongnya,,noma asbida,
dia membagi kue kepada anak anaknya,,alawat momami nim tu mtu si,
dia suka berbagi makanan,,nisuka nalawat nghon,
kepala kampung membagikan sembako,,kapala kampong nalawat sembako li,
saya menguburkan mayat,,kallipang jasad,
mereka kawin lari,,meu alosak,
siapa yang mau kesana,,alho nhan akno da,
dia kurang makan sehingga badannya kurus,,nahon te I nibadan alus,
anak itu berlari,,wang iso da nalhot,
anak itu lari-lari,,wang da nalhot,
merawat ibu saya,,kamak mama si,
dia orang yang peduli,,I da nmaka amak hiya,
ikat kepala,,alika poyo,
saya sangat sayang kepada anak,,kammesak nik mtu,
saling menyayangi,,maka hammesak,
saya mengiyakan apa yang dia katakan,,laimo naluso yak kanggo do,
ayah tidur,,baba l antoal,
saya mau tidur,,nyoa kantuli,
dia ketiduran di mobil,,I da nantuli oto li,
ibu bersali di puskesmas,,mama lantun puskesmas li,
orang itu beristirahat,,laga di laomak si,
bapak itu marah,,lagai si lassetan,
saya pusing,,kattiam,
saya duduk bersandar di kursi,,kbatalon asolak kurusi li,
sandaran kursi rusak,,kurusi nihasolak llekat ,
saya mandi tiga kali sehari,,kasop nganiso hatol,
dia antar makanan,,nawai nghon,
adik laki-laki ayah,,baba kutu,
ayah angkat,,baba wolam,
ayah tiri,,baba wota,
saya sakit mata,,kbabang,
gigit jari,,babas miyao,
anak itu berwajah bulat,,wang iso nisoda bab'boka,
gemuk,,badan lolo,
dia memakai baju lusuh,,npake baju ba'bluk,
mereka kerja bakti,,lbahatup ,
tubuh anak itu tidak terurus,,wang iso da nibadan kalesang,
saya tidur mengingau,,kantuli bab'buh,
dia malas bekerja,,wang da namanitap bal'bol,
dia duduk bersila,,nbatalon bal'ci'na,
kamu pergi tapi kembali,,au mhan mai maba'lek,
lukanya besar,,niyobat so bakan,
saya melingkarkan tali di pohon,,kbaling wola ai li,
kami berkabung di rumah nenek,,abalisa nene li um li,
disana ada bangkai hewan,,noge da ada haiwan ni,
pemimpin yang jujur disegani rakyatnya,,lolo si lbannar e rorakasi,
ibu menggendong adik,,mama lbat thano,
noda baju,,baju bata,
kucing itu belang,,tusa iso da bata,
adik duduk di kursi paling depan,,thani nbatalon kurusi soda li,
dia menyelesaikan pekerjaan itu dengan sekuat tenaga,,npe manitap pso da nda I do nbatiki,
gila uang,,nabbohak pipis,
gila harta,,nabbohak harta,
gila bola,,nabbohak bal,
burung itu terbang bebas ,,manik koi da nopa bebas,
penampilan wanita itu sederhana,,mapin I dia  napake biasa-biasa,
gelas itu yang paling kecil,,galas pso da bibicing,
tidak ada celahnya,,bicakrak tahate do,
saya merasa nyaman ketika melihatnya,,kam akno I dia da birahi,
rumah itu bersih setiap hari,,um I dia beresih ngan-ngan,
anak itu kecelakaan,,wang iso da nbodito,
rumahnya dekat dari pelabuhan itu,,nium ncebak bubane li,
dia membohongi saya,,nbudik yak,
saya mendengar suara burung itu,,kmalonga manik koi nibuko,
sayuran mentah-mentah,,awai bulho-bulho,
tiba tiba benda itu hilang dari pandangan saya,,yapu pso da bum niksoda li,
orang itu sudah menghilang,,le nabum do,
perempuan itu sedang bingung,,mapin lolanco da lbum-bum,
bapak itu sudah pikun,,lagai da nbum-bum do,
tekan pintu itu,,butu boa li,
saya malas,,kbusu,
saya melabuhkan perahu saya,,kcabi nikwog,
cacar air,,cacar woya,
adik saya rambutnya berkepang dua,,nikthano nikakle nacacing plu,
dia bercelana panjang,,nacalana mlongan,
terdengar sorak di lapangan,,malonga cangak lapangan li,
siapa cepat dia dapat,,alho ncapat intala,
ayah bertopi pergi ke kebun,,baba si lhan doba li lacapeo,
itulah cerita kami,,I dia am acarita,
dia dan kami bercerita,,I ada am acarita,
dia mengajukan beberapa pertanyaan,,ncungak kakkutan phiso kno,
ia naik motor arah rabutdaiyo,,nyat motor ndago rabutdaiyo,
jangan selalu menitu,,patona maka damo,
anak itu sangat rakus,,wang da ndanata kuat,
dia ke kebun untuk menghamburkan bibit,,"nhan nadoba li, nadou bibit",
tanpa saya ketahui bibi itu tercecer,,dau-dou appo bibit gowa so da,
halaman berumput,,kintal ddawa,
anak itu menunjukkan mainan barunya,,naddoiko nilalaea ppowo,
tuangkan minyak kelapa ke wajan,,ndido nimmoso niwi wajan li galas li,
pindah rumah,,nadikak um,
dia anak terakhir,,I ne nikmtu nidungko,
makanan tidak habis,,nghon dumik te,
saya menyikat gigi,,kesek lalho ,
ibu mengiris kue,,mama lesap momami,
ibu menggosok punggung adik,,mama lesek tagulo thano,
anak yang berusia lima tahun itu sudah fasih membaca,,wang so niumur taun halim da nbaca faseh do,
dia menghalangi saya,,nfati yak,
saya cegah dia masuk ke rumah,,kfati I ncung um,
kita harus peduli kepada sesama,,tit e male faduli ada titwanglomo,
dia berkelakuan tidak menyenangkan,,I dia nifail masure te,
bapak itu suka mengacuhkan anaknya,,lagai iso da nimtu,
dia merusakkan segalanya,,nagagang sagala ndumik,
ular itu melingkar,,kolai iso da,
nanti malam akan diadakan perayaan malam ela-ela,chabutara ana gulaha gamam ela-ela,,
apid dan umar ingin perayaan ela-ela lebih meriah,apid se umar ingin perayaan ela-ela lebih meriah,,
Mereka akan mengajak teman-temannya merayakan malam Ela-ela.,Ana nunau tagi kokaro dagimoi fo sirame gamam Ela-ela.,,
Mereka akan mengenakan baju berwarna-warni.,Ana pake baju warna-warni.,,
"Selesai mengaji, Apid dan Umar mengumpulkan teman-temannya.","Kanang mangaji, Apid se Umar kokaro fo dagimoi",,
mereka berbagi warna baju,ana barbage makeler baju,,
nanti malam apid akan mengenakan baju berwarna hijau,Cabutara Apid sari o pake baju makeler ijo.,,
Umar akan mengenakan baju berwarna putih.,Umar sari o pake baju ma keler bubudo.,,
"Beberapa teman mengenakan baju berwarna merah, kuning, dan biru.","Dagimoi ngaruo i pake baju sema keler ruriha, kuraci, se balao.",,
Mereka pulang ke rumah masing-masing.,Ana kudiho toma fala.,,
Mereka menyiapkan baju yang akan dikenakan.,Ana parsiapan baju yang ana mo pake.,,
"tiba dirumah, apid mencari baju berwarna hijau",Tadi toma fala Apid tike baju ijo.,,
Ada baju warna hijau kesukaan Apid.,Apid rai baju ijo nyinga suka warna ijo.,,
Baju itu modelnya sederhana,Baju fo model sadarhana.,,
Bahannya enak di badan.,Nyaman di badan.,,
Apid membayangkan kemeriahan perayaan Ela-ela kali ini.,Apid hayal sirame cabutara gulaha Ela-ela.,,
Pasti ramai dengan baju warna-warni.,Sirame sema baju warna-warni.,,
"Saat Apid keluar rumah, Umar memanggilnya.","Apid supu fala, Umar kokaro una.",,
Umar terlihat menangis.,Umar hida ari.,,
Baju Umar yang berwarna putih kotor.,Baju Umar bobudo faja.,,
Dia tidak bisa memakai baju putihnya.,Una dadi ua pake baju bobudo.,,
Apid mencari baju putih untuk dipinjamkan ke Umar.,Apid tike baju bobudo si bau Umar.,,
Umar senang sekali bisa memakai baju putih.,Umar simore pake baju bobudo.,,
Dia bisa ikut merayakan Ela-ela.,Una mote sirame Ela-ela adi.,,
Apid dan Umar siap merayakan Ela-ela.,Apid se Umar siap ana sirame Ela-ela.,,
Mereka berkumpul dengan teman-temannya didepan musala.,Ana ma pol toma sigi ma gunaga se dagimoi.,,
Teman-teman Apid memakai baju berwarna-warni.,Apid se dagimoi pake baju warna-warni.,,
"Ada yang berwarna merah, kuning, hijau,biru, dan putih.","Se ma roriha, kuraci, ijo, biru, se bobudo.",,
Perayaan Ela-ela dimulai.,Gulaha Ela-ela raima.,,
"Apid, Umar, dan teman-temannya membaca doa.","Cabu, ana baca doa",,
Mereka juga melantunkan salawat Nabi Muhammad saw.,dogo salawat Nabi Muhammad saw.,,
"Apid, Umar, dan teman-temannya mulai berjalan.","Apid, Umar, se dagimoi dogo.",,
Mereka berjalan mengelilingi kampung.,Ana dogo kololi gam.,,
Perayaan Ela-ela kali ini benar-benar meriah.,Gulaha Ela-ela alomoi ne rame.,,
Semua memakai baju berwarna-warni.,Ana pake baju warna-warni.,,
Tradisi Ela-ela adalah tradisi khas masyarakat muslim Ternate dalam menyambut malam Lailatulqadar atau malam ke-27 Ramadan.,Ngom muslim Ternate biasa gulaha tradisi Ela-ela toma gamam Lailatulqodar atau nyagi romdidi se tomdi ena gamam Ramadan.,,
Di Manakah Buah Kelapa?,Igo Masofo Kasa?,,
Hutan Tongole kebakaran.,Banga Tongole i hoku.,,
Api menyala di mana-mana.,Uku mariha i sema toma kasa-kasa bato.,,
Asap mengepul di udara.,Nyefo fere pongoro tufa.,,
Penghuni hutan berlarian ke sana kemari.,Banga ma jujaga i laba iri ika se ino.,,
Termasuk Kuso si Kuskus.,Doka Kuso mai i laba iri.,,
Pohon kelapa di sekitar rumah Kuso terbakar.,Hate igo toma Kuso na fala madite mai I hoku.,,
Semua buahnya hangus.,Masofo mai i hoku simoi.,,
Kuso keluar rumah.,Kuso i supu toma fala.,,
Ia berlari ketakutan.,O laba sema golfino.,,
Ia menghindari kebakaran sekuat tenaga.,O sibiri nyawa toma oras banga i hoku.,,
Kuso terperosok karena tergesa-gesa. Ia terus jalan menghindari kebakaran.,Karena i yogo-yogo Kuso ibabu i hohu cum mai i aku tagi sibiri diri.,,
Sesekali Kuso berhenti untuk menarik napas.,Walomoi-moi Kuso i mawoma oro homa.,,
Ia sedih karena kini tidak punya rumah.,O baso duka sababu kanang ne i kama fala ua.,,
"Menjelang pagi, Kuso sampai di tepi hutan.","Lofo nita, Kuso i kado toma banga ma bati.",,
Perutnya mulai keroncongan.,I oru maikururu raim.,,
Ada sungai kecil di depannya.,Sema ake toma nguwai ici toma i gunaga.,,
Ia merangkak dan minum air sepuasnya.,O matare se oke ake sido turifu.,,
Kuso senang makan kelapa.,Kuso ge i winyo oho igo.,,
Ia melihat pohon kelapa di tepi hutan.,O hida hate igo toma banga mabati.,,
Ia melihat buahnya masih kecil-kecil.,O hida masofo ge ici-ici moju.,,
Kuso mencoba memanjat dan memetiknya.,Kuso i mario fere se utu masofo.,,
"Benar saja, buah kelapa hanya berisi air. Sama sekali tidak ada dagingnya.","Gou adi, igo masofo duga ma ake bato, marehe malo.",,
Kuso mencari makanan lain.,Kuso o tike ngogu ruregu.,,
Tidak ada buah lain di sana. Tiba-tiba...,Mai ngogu ruregu i malo adi. Kage-kage.,,
Ada jangkrik terbang.,Sema boto-boto i soro se matera.,,
Dengan sigap Kuso menangkap dan melahapnya.,Dadi Kuso i coho dogo oho ena.,,
Kuso memakan serangga lainnya hingga kenyang.,Kuso i oho boto-boto ruregu sido turifu.,,
Kuso sudah mulai bertenaga.,Kuso o baso sema tanaga raim.,,
Saatnya cari rumah baru. Ia berjalan dengan cepat.,Dadi o jai-jai masilage tagi.,,
Ia melompat dengan gesit di antara pohon.,O mahega pande folio toma hate-hate.,,
"Di tengah jalan, hujan turun.","Toma ngoko magonora, besa i uci.",,
Kuso berteduh di bawah rimbunan pohon.,Kuso i matadu toma hate rubu-rubu ma adu.,,
"Setelah hujan berhenti, Kuso melanjutkan perjalanan.","Pasa ena ge besa i togu, Kuso o sidofa i duddagi.",,
"Menjelang tengah hari, Kuso melihat pohon kelapa.","Lofo futu konora, Kuso O hida igo ma hate.",,
Ia melompat makin cepat.,O mahega capati folio.,,
Kuso tiba di rumah barunya.,Kuso i kado toma fala sung.,,
Sebuah hutan bernama hutan Pulo Tareba.,Banga rimoi ma ronga Pulo Tareba.,,
Ada banyak pohon kelapa di sana.,Sema hate-hate igo i dofu daka.,,
Pohonnya tinggi. Buahnya banyak.,"Mahate i gaku-gaku, masofo dofu.",,
Tinggal di sana pasti tidak akan kelaparan.,Tego kadaka ge fo kama baso soha se baulaco ua.,,
Kuso naik ke salah satu pohon kelapa.,Kuso i fere igo ma hate rimoi.,,
Mengambil buahnya.,Oro masofo.,,
Meminum airnya dan memakan dagingnya.,Oke ma ake se oho marehe.,,
Rasanya enak sekali.,Majame saki folio.,,
saya makan nasi di rumah,...,...,...
saya minum air di dapur,...,...,...
saya membaca buku di kamar,...,...,...
saya menulis tugas di meja,...,...,...
saya melihat televisi di ruang tamu,...,...,...
saya membeli ikan di pasar,...,...,...
saya memasak mie di dapur,...,...,...
saya mencuci pakaian di sungai,...,...,...
saya berjalan ke sekolah pagi hari,...,...,...
saya duduk bersama teman di kelas,...,...,...
dia bermain bola di lapangan,...,...,...
dia berlari di jalan pagi hari,...,...,...
dia tidur siang di kamar,...,...,...
dia belajar matematika di sekolah,...,...,...
dia membantu ibu di dapur,...,...,...
dia memancing ikan di laut,...,...,...
dia memperbaiki sepeda di halaman,...,...,...
dia menyapu rumah setiap pagi,...,...,...
dia menonton film di televisi,...,...,...
dia menulis surat untuk temannya,...,...,...
kami makan bersama di rumah,...,...,...
kami pergi ke pantai sore hari,...,...,...
kami belajar kelompok di kelas,...,...,...
kami bermain gitar di halaman,...,...,...
kami membantu guru di sekolah,...,...,...
kami membersihkan lingkungan desa,...,...,...
kami menanam pohon di kebun,...,...,...
kami membawa air dari sumur,...,...,...
kami duduk santai di teras rumah,...,...,...
kami berbicara tentang pelajaran,...,...,...
mereka bekerja di kebun setiap hari,...,...,...
mereka menangkap ikan di laut,...,...,...
mereka memasak makanan di dapur,...,...,...
mereka membersihkan halaman rumah,...,...,...
mereka bermain bola di lapangan,...,...,...
mereka belajar bersama di kelas,...,...,...
mereka duduk di bawah pohon,...,...,...
mereka berjalan ke pasar pagi hari,...,...,...
mereka minum air setelah bekerja,...,...,...
mereka beristirahat di rumah,...,...,...
ayah pergi ke laut pagi hari,...,...,...
ayah memperbaiki perahu di pantai,...,...,...
ayah membeli ikan di pasar,...,...,...
ayah bekerja di kebun setiap hari,...,...,...
ayah duduk di teras rumah,...,...,...
ayah berbicara dengan tetangga,...,...,...
ayah minum kopi di pagi hari,...,...,...
ayah tidur siang setelah bekerja,...,...,...
ayah mencuci tangan sebelum makan,...,...,...
ayah membantu ibu di dapur,...,...,...
ibu memasak nasi di dapur,...,...,...
ibu mencuci pakaian di sungai,...,...,...
ibu menyapu rumah setiap pagi,...,...,...
ibu membeli sayur di pasar,...,...,...
ibu menyiapkan makanan untuk keluarga,...,...,...
ibu membersihkan meja makan,...,...,...
ibu mencuci piring setelah makan,...,...,...
ibu duduk di ruang tamu,...,...,...
ibu berbicara dengan anak-anak,...,...,...
ibu beristirahat di sore hari,...,...,...
,...,...,...
adik bermain di halaman rumah,...,...,...
adik belajar membaca di kamar,...,...,...
adik menonton televisi di ruang tamu,...,...,...
adik makan nasi bersama keluarga,...,...,...
adik minum susu sebelum tidur,...,...,...
adik membantu ibu di dapur,...,...,...
adik menggambar di buku tulis,...,...,...
adik berlari di halaman,...,...,...
adik tidur siang di kamar,...,...,...
adik bermain dengan teman,...,...,...
kakak belajar di kamar setiap malam,...,...,...
kakak pergi ke sekolah pagi hari,...,...,...
saya makan nasi di halaman minggu depan,...,...,...
saya makan nasi di pantai pagi hari,...,...,...
saya makan nasi di pantai siang hari,...,...,...
saya makan nasi di pantai sore hari,...,...,...
saya makan nasi di pantai malam hari,...,...,...
saya akan pergi ke pasar besok pagi,...,...,...
saya sedang belajar di kamar sekarang,...,...,...
saya sudah makan nasi tadi malam,...,...,...
saya ingin membeli ikan segar,...,...,...
saya harus menyelesaikan tugas hari ini,...,...,...
saya suka bermain bola di lapangan,...,...,...
saya tidak pergi ke sekolah hari ini,...,...,...
saya sering membaca buku di rumah,...,...,...
saya jarang menonton televisi,...,...,...
